case_number,category_id,location_id,occurred_at,reported_at,description,mo_tags,status,priority,progress,assigned_officer_id,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
CR-2026-DET-284,7da8b3f7-e772-4580-b901-3beb7e65454c,0201b9e3-394f-47ca-8471-2c0dd1078fb0,2026-05-09 10:30:00,2026-05-09 14:05:00,"Cyber Crime & Online Fraud reported at Nazar Mohalla Beat, Mysuru","night riverbed extraction, forged transit permit, heavy excavator used",closed,medium,100,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,2ef9a461-06d3-4c4f-acfd-a190d359a0aa,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-126,537eee7f-7c4d-415e-b9be-792c02658f23,39c5202a-873d-4ce4-b993-90e8e720913a,2025-01-21 14:00:00,2025-01-21 15:30:00,"Property Disputes reported at Jayanagar 4th Block, Bengaluru Urban","distillery raid, illicit arrac transport, unbranded glass bottles, [ANOMALY_FLAGGED: unexpected high-severity off-hour spike]",open,critical,14,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,2f531eac-763d-47ff-83a0-3b5751400768,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DVG-001,e8dd85a6-421f-452c-811a-c3bed4e9a18b,32956681-9c4f-455d-a6b2-256d984f22ce,2026-08-16 02:25:00,2026-08-16 04:25:00,"Theft & Burglaries reported at Davanagere Market Road, Davanagere","textile shop break-in, goods worth 12L stolen",open,high,30,c31cd5b1-71b1-4e9d-a06b-9fadde8f9e6f,demo,,,,2fb8f4d0-451d-4197-ae22-ff0474657938,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-BLG-002,e8dd85a6-421f-452c-811a-c3bed4e9a18b,3733d8bd-c340-422a-b303-10f2e7871b5b,2026-08-14 00:45:00,2026-08-14 03:15:00,"Theft & Burglaries reported at Camp Area Patrol, Belagavi","night residential break-in, crowbar used",open,medium,25,31d37711-b1aa-44be-b8fd-c1a4355577d9,demo,,,,300f0f43-7a03-411b-b872-dd00cbf9c141,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-063,53249216-9af1-450e-b498-547d83a6ba26,79a998be-1c0c-4399-9e2d-af98b8223fd6,2024-07-14 08:00:00,2024-07-14 09:00:00,"Assault reported at Bidar Fort Road, Bidar","scooter reconnaissance, crowbar entry, night operation, cash targeting",appealed,high,23,2fd383db-cd0b-4cca-9161-74533c0a3647,demo,,,,3081447a-6053-416e-a9f9-18f68721ecb5,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-276,537eee7f-7c4d-415e-b9be-792c02658f23,79a998be-1c0c-4399-9e2d-af98b8223fd6,2026-04-17 13:05:00,2026-04-17 15:45:00,"Property Disputes reported at Bidar Fort Road, Bidar","modified vehicle plates, warehouse hideout used, [ANOMALY_FLAGGED: unexpected high-severity off-hour spike]",open,critical,12,2fd383db-cd0b-4cca-9161-74533c0a3647,demo,,,,30aecfc2-d880-40d5-a683-1a291a328b2e,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-MYS-001,e8dd85a6-421f-452c-811a-c3bed4e9a18b,f08b6675-bdea-4824-ab7b-02bc87e80982,2026-08-23 00:25:00,2026-08-23 02:35:00,"Theft & Burglaries reported at Devaraja Market Zone, Mysuru","late night lock break, scooter reconnaissance",open,high,60,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,31612598-9f3d-4032-a2d1-4dde33b5ff73,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-293,53249216-9af1-450e-b498-547d83a6ba26,3388760d-ac61-45c4-bb24-2bca38f6d13e,2026-06-05 08:40:00,2026-06-05 10:20:00,"Assault reported at Arsikere Town Road, Hassan","land document forgery, witness intimidation, fake power of attorney",investigating,medium,46,d90df2b2-c392-4aed-8af3-1024b8d7e0a0,demo,,,,31cb5498-3163-47f4-a8cb-40d288034942,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-KDG-001,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,1b75697a-1226-432a-aaff-763cc0bee9d2,2026-08-18 20:40:00,2026-08-18 22:10:00,"Smuggling & Excise Violations reported at Madikeri Town Center, Kodagu","coffee estate timber smuggling, midnight transport",open,high,25,e44eac9d-cdbe-4431-b175-c6dd48feca28,demo,,,,31e9d6dc-ed22-4268-ae00-c2defc1c039b,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-008,1b770b27-4234-44c6-836f-811c4b1b0dca,609d0027-23c1-4b74-9863-3c4b8ed81adc,2024-02-04 23:30:00,2024-02-05 03:00:00,"Illegal Mining Violations reported at Sagara Main Road, Shimoga","fake customer care portal, OTP interception, remote access app",investigating,low,53,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,demo,,,,32f2faf4-4b48-46c2-bae2-2a3d846f04da,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-020,537eee7f-7c4d-415e-b9be-792c02658f23,af5fa199-cce9-4618-b574-e182e434dd6f,2024-03-07 17:45:00,2024-03-07 19:50:00,"Property Disputes reported at Homnabad Cross, Bidar","distillery raid, illicit arrac transport, unbranded glass bottles",investigating,medium,57,2fd383db-cd0b-4cca-9161-74533c0a3647,demo,,,,3329fe53-50e1-4898-9157-245c1a89c94a,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-007,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,0b019361-8ffd-49d7-b619-c58ae2b3a90f,2024-01-28 22:10:00,2024-01-29 01:50:00,"Smuggling & Excise Violations reported at Whitefield Cyber Cell Beat, Bengaluru Urban",coordinated group activity,investigating,high,57,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,3339fd01-e192-4ded-b89e-5c23449a2387,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-193,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,9886a1e3-8a71-4d49-aad5-bbfe6e8c7a98,2025-08-08 20:20:00,2025-08-08 21:30:00,"Smuggling & Excise Violations reported at Haveri Bus Stand Area, Haveri","land document forgery, witness intimidation, fake power of attorney",open,high,23,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,demo,,,,35b2569f-5455-4562-b5e4-c7d82d59e21b,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-139,b832740f-0285-496a-8ae7-c0ba3fce708b,dc4b7077-3bfc-44e2-91fc-ac9c2ed3bf06,2025-03-02 20:40:00,2025-03-02 21:50:00,"Narcotics Smuggling Services reported at Ranebennur Cross, Haveri","electronic surveillance evasion, crowbar lock bypass",appealed,high,14,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,demo,,,,35c7de15-3727-4e72-94e1-f7b47a9d60fd,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-058,7da8b3f7-e772-4580-b901-3beb7e65454c,f28f2835-1a22-40c8-8155-aa4de5555767,2024-07-01 11:05:00,2024-07-01 13:20:00,"Cyber Crime & Online Fraud reported at Sirsi Town Center, Uttara Kannada","warehouse hideout used, night operation",open,low,20,8e38105b-15a3-48cb-8fe4-88a34542ccfa,demo,,,,36b4aeec-60b5-46e7-ad34-357ba32499c6,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-010,537eee7f-7c4d-415e-b9be-792c02658f23,d9061461-6426-4fd4-861a-d5528957c9c3,2024-02-09 14:40:00,2024-02-09 15:50:00,"Property Disputes reported at Vijayapura Fort Area, Vijayapura","vehicle reconnaissance, modified vehicle plates, phishing URL SMS",unsolved,low,24,5bbc94f3-51a0-47de-802a-dd4b4ccedab1,demo,,,,36c78dbd-07f1-4d09-9d1e-128102354ab3,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-209,537eee7f-7c4d-415e-b9be-792c02658f23,9886a1e3-8a71-4d49-aad5-bbfe6e8c7a98,2025-09-25 15:35:00,2025-09-25 19:40:00,"Property Disputes reported at Haveri Bus Stand Area, Haveri","crypto mule routing, fake KYC, call spoofing, high-yield investment scam",appealed,low,31,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,demo,,,,38bd8253-f622-46b3-b108-f2fac229ad72,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-012,b832740f-0285-496a-8ae7-c0ba3fce708b,1886a491-3bc5-4de7-aeb6-2350e5a560d0,2024-02-13 20:40:00,2024-02-13 21:45:00,"Narcotics Smuggling Services reported at Hospet Town Center, Vijayanagara","phishing URL SMS, coordinated group activity, fake identity documents",open,critical,21,219a87ba-850b-48e5-8a33-2151a3337db0,demo,,,,3aa0053c-30fb-479a-aaf9-c1d27e7eb317,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-092,1b770b27-4234-44c6-836f-811c4b1b0dca,d9061461-6426-4fd4-861a-d5528957c9c3,2024-10-10 03:20:00,2024-10-10 04:55:00,"Illegal Mining Violations reported at Vijayapura Fort Area, Vijayapura","electronic surveillance evasion, phishing URL SMS, modified vehicle plates",unsolved,high,11,5bbc94f3-51a0-47de-802a-dd4b4ccedab1,demo,,,,3aee9cbb-4270-44e6-a54f-e92908b5ce4c,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-216,53249216-9af1-450e-b498-547d83a6ba26,135c6677-bd43-49e4-a2e3-7cff53d3bbd2,2025-10-20 15:25:00,2025-10-20 18:20:00,"Assault reported at Raichur Town Center, Raichur","distillery raid, illicit arrac transport, unbranded glass bottles",investigating,medium,46,4c15aede-a2ad-4322-bb3e-1264d9593b53,demo,,,,3af16f78-17d3-4868-ab09-0412a3102fac,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DVG-002,b832740f-0285-496a-8ae7-c0ba3fce708b,d4a7d6da-b132-4b42-a3fd-2a3d537a912f,2026-08-21 02:10:00,2026-08-21 05:45:00,"Narcotics Smuggling Services reported at Harpanahalli Junction, Davanagere",ganja supply chain from Goa route,investigating,critical,15,c31cd5b1-71b1-4e9d-a06b-9fadde8f9e6f,demo,,,,3b4df870-093f-4f58-801b-9dd818088fc8,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-014,e8dd85a6-421f-452c-811a-c3bed4e9a18b,3d6a60ba-8f85-4f78-8477-37b0aca20425,2024-02-21 00:55:00,2024-02-21 05:35:00,"Theft & Burglaries reported at Jamakhandi Station Road, Bagalkote","distillery raid, illicit arrac transport, unbranded glass bottles",appealed,high,18,b9af6e21-ff39-4174-bce7-d4fcdcfc9a9d,demo,,,,3b88028e-efad-4691-87bd-d46b81e1c349,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-SHG-001,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,60a1ce7d-e7ff-4d1b-8b91-39b289f3bfa9,2026-08-12 23:55:00,2026-08-13 04:50:00,"Smuggling & Excise Violations reported at Shimoga City Center, Shimoga",illegal sand mining from Tunga riverbed,open,high,20,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,demo,,,,3d5d48c7-5acf-4071-9f1c-b0e5131df756,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-SHG-002,7da8b3f7-e772-4580-b901-3beb7e65454c,609d0027-23c1-4b74-9863-3c4b8ed81adc,2026-08-07 10:45:00,2026-08-07 13:40:00,"Cyber Crime & Online Fraud reported at Sagara Main Road, Shimoga","online ticket booking scam, festival rush",open,medium,15,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,demo,,,,3ddc3b2a-b02e-4391-9abb-157f70b670ae,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-CMG-002,53249216-9af1-450e-b498-547d83a6ba26,8ceccb58-8b23-43f4-8675-a91354ac86bf,2026-08-01 09:35:00,2026-08-01 14:05:00,"Assault reported at Kadur Junction, Chikkamagaluru","property dispute assault, hospitalisation",closed,medium,100,ca5236a4-32f9-4a78-8e38-29bb36d03874,demo,,,,3e51ef62-f2c6-423f-b794-f9704632e915,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-239,e8dd85a6-421f-452c-811a-c3bed4e9a18b,ee3d6a63-af53-4c1c-b088-c69307792f39,2025-12-24 01:00:00,2025-12-24 02:40:00,"Theft & Burglaries reported at Gulbarga University Road, Kalaburagi","highway cargo truck hijacking, driver assault, remote warehouse offload",investigating,high,63,c01b3bfb-4c1b-4e70-bd24-9411fd4745f0,demo,,,,3f2f47d0-bdf2-4e4b-9522-b0817a98cf12,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-037,1b770b27-4234-44c6-836f-811c4b1b0dca,42d2be64-dfc5-47d2-afd1-a3dcde829269,2024-04-27 23:00:00,2024-04-28 00:00:00,"Illegal Mining Violations reported at Yadagir Town Center, Yadagir","interstate transit, concealed false compartment, synthetic MDMA, dead drop",appealed,medium,74,27fea9ae-f398-4c45-a286-94af0bd08807,demo,,,,3f37c4dc-5b3a-40f8-ae41-ee7169171f0c,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-043,1b770b27-4234-44c6-836f-811c4b1b0dca,135c6677-bd43-49e4-a2e3-7cff53d3bbd2,2024-05-15 02:45:00,2024-05-15 05:15:00,"Illegal Mining Violations reported at Raichur Town Center, Raichur","warehouse hideout used, electronic surveillance evasion",closed,critical,100,4c15aede-a2ad-4322-bb3e-1264d9593b53,demo,,,,3f62c70e-8a44-4c51-ad8f-2f5ed5c2a677,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-313,b832740f-0285-496a-8ae7-c0ba3fce708b,f28f2835-1a22-40c8-8155-aa4de5555767,2026-08-06 01:25:00,2026-08-06 04:20:00,"Narcotics Smuggling Services reported at Sirsi Town Center, Uttara Kannada","night operation, warehouse hideout used, electronic surveillance evasion",unsolved,medium,17,8e38105b-15a3-48cb-8fe4-88a34542ccfa,demo,,,,40c51206-86f9-4d36-ab9e-5225fe4255c3,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-121,b832740f-0285-496a-8ae7-c0ba3fce708b,9886a1e3-8a71-4d49-aad5-bbfe6e8c7a98,2025-01-04 01:05:00,2025-01-04 03:40:00,"Narcotics Smuggling Services reported at Haveri Bus Stand Area, Haveri","fake customer care portal, OTP interception, remote access app",investigating,low,61,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,demo,,,,416abfd1-997c-4bcb-a746-8c408b713b3f,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-244,019ae936-623e-4279-8981-d5b369e400f3,2080054b-41b4-46be-898f-9dc406809e4e,2026-01-09 21:30:00,2026-01-10 01:00:00,"Domestic Violence reported at Yadgir Road Junction, Raichur","fake customer care portal, OTP interception, remote access app",open,critical,10,4c15aede-a2ad-4322-bb3e-1264d9593b53,demo,,,,418e9816-4f54-4ab1-b70a-380e5cd6f363,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-MYS-004,b832740f-0285-496a-8ae7-c0ba3fce708b,7eb21de1-5854-4fe8-aa0b-1ec6865450bd,2026-08-25 20:00:00,2026-08-25 21:30:00,"Narcotics Smuggling Services reported at Vani Vilas Mohalla, Mysuru","MDMA delivery via dark web, dead drop",open,critical,10,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,42582c4e-5a1c-4e16-9cec-75c9fbe01bbd,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-066,019ae936-623e-4279-8981-d5b369e400f3,eadefec7-c66a-4a79-a719-3e5c4741de09,2024-07-25 19:15:00,2024-07-26 00:05:00,"Domestic Violence reported at Chitradurga Fort Area, Chitradurga","darknet forum coordination, vehicle reconnaissance",closed,high,100,cf8c9086-2c1f-460b-86ae-70194c545cf9,demo,,,,426fafd3-f48f-4e75-bd3a-e501a00dcf8c,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-107,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,03fdd948-c6fe-4bcb-9aba-ce5ba867ee5c,2024-11-23 03:55:00,2024-11-23 08:10:00,"Smuggling & Excise Violations reported at Gangavathi Road, Koppal","coordinated group activity, modified vehicle plates, crowbar lock bypass",appealed,high,38,f477b6e3-1f4a-46d7-a02e-bb78a32dd82b,demo,,,,439da41d-8a87-4d9b-a501-c1b845b16ae5,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-111,537eee7f-7c4d-415e-b9be-792c02658f23,58514cca-e5de-4726-8e67-d0daff330f62,2024-12-06 16:50:00,2024-12-06 20:05:00,"Property Disputes reported at Chikkamagaluru Town, Chikkamagaluru","warehouse hideout used, crowbar lock bypass, electronic surveillance evasion",investigating,medium,72,ca5236a4-32f9-4a78-8e38-29bb36d03874,demo,,,,43a741bf-613e-420a-bd4c-7783d03b0304,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-302,1b770b27-4234-44c6-836f-811c4b1b0dca,eae4b1c0-00d0-44ed-9400-af7999f23e15,2026-07-03 23:30:00,2026-07-04 02:40:00,"Illegal Mining Violations reported at Tirthahalli Cross, Shimoga","night riverbed extraction, forged transit permit, heavy excavator used",investigating,high,81,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,demo,,,,43b40974-46d0-41f9-a8e0-14109cb2097e,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-124,b832740f-0285-496a-8ae7-c0ba3fce708b,aee07501-43c6-40b9-8cad-266365912cc2,2025-01-13 21:45:00,2025-01-14 00:40:00,"Narcotics Smuggling Services reported at Chamarajanagar Town, Chamarajanagar","crowbar lock bypass, modified vehicle plates",investigating,critical,84,a42d03ad-0de6-4b92-96ef-5ab3f60aff1e,demo,,,,43e7f41e-0a9d-4283-94e0-569e5d2de88f,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-106,1b770b27-4234-44c6-836f-811c4b1b0dca,42d2be64-dfc5-47d2-afd1-a3dcde829269,2024-11-24 00:35:00,2024-11-24 05:10:00,"Illegal Mining Violations reported at Yadagir Town Center, Yadagir","forest boundary timber smuggling, midnight log transport",investigating,medium,82,27fea9ae-f398-4c45-a286-94af0bd08807,demo,,,,4426bc25-e5fb-426f-8d50-679cfc5da621,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-219,53249216-9af1-450e-b498-547d83a6ba26,97c577f1-e34f-4af8-8d26-4aa6cef67b53,2025-10-27 18:50:00,2025-10-27 21:55:00,"Assault reported at Udupi Krishna Math Road, Udupi","interstate transit, concealed false compartment, synthetic MDMA, dead drop",open,low,15,59c075bd-c5d7-48bc-b115-91f5b0d2cf7b,demo,,,,4521b6ff-0fe6-4507-b957-0380fd411ffe,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-BNG-006,53249216-9af1-450e-b498-547d83a6ba26,0b019361-8ffd-49d7-b619-c58ae2b3a90f,2026-08-04 11:15:00,2026-08-04 15:15:00,"Assault reported at Whitefield Cyber Cell Beat, Bengaluru Urban","gated community altercation, weapon recovered",closed,medium,100,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,47469a30-247f-4b31-9001-e95abd0863d8,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-315,b832740f-0285-496a-8ae7-c0ba3fce708b,595f8b31-6c92-4d7b-868e-311497cbda34,2026-08-11 21:05:00,2026-08-11 23:40:00,"Narcotics Smuggling Services reported at HSR Layout Beat, Bengaluru Urban",darknet forum coordination,investigating,low,70,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,48ca3932-5a03-453e-a977-ef714179601a,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-056,53249216-9af1-450e-b498-547d83a6ba26,f08b6675-bdea-4824-ab7b-02bc87e80982,2024-06-23 10:10:00,2024-06-23 13:10:00,"Assault reported at Devaraja Market Zone, Mysuru","highway cargo truck hijacking, driver assault, remote warehouse offload",unsolved,medium,21,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,48f8ed2c-ce1b-4021-884b-d73e071295c4,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-096,537eee7f-7c4d-415e-b9be-792c02658f23,135c6677-bd43-49e4-a2e3-7cff53d3bbd2,2024-10-24 13:15:00,2024-10-24 18:05:00,"Property Disputes reported at Raichur Town Center, Raichur","crypto mule routing, fake KYC, call spoofing, high-yield investment scam",open,medium,11,4c15aede-a2ad-4322-bb3e-1264d9593b53,demo,,,,4911be4d-ec53-42fb-8136-162a1430e78b,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-059,53249216-9af1-450e-b498-547d83a6ba26,0b55e0d6-42ee-4a1f-9bc0-435f5210decf,2024-07-06 09:35:00,2024-07-06 14:05:00,"Assault reported at Tiptur Market Area, Tumkuru","highway cargo truck hijacking, driver assault, remote warehouse offload",investigating,critical,55,32ef8189-db8a-47c3-b687-3bf34a097b2b,demo,,,,49137ef0-5a6e-4655-978a-1ceb29fc1f9a,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-123,1b770b27-4234-44c6-836f-811c4b1b0dca,5198ddb4-ccc1-4850-87eb-9de79acea356,2025-01-14 02:15:00,2025-01-14 06:50:00,"Illegal Mining Violations reported at Indi Town Center, Vijayapura","fake identity documents, cash-only transactions, vehicle reconnaissance",closed,critical,100,5bbc94f3-51a0-47de-802a-dd4b4ccedab1,demo,,,,499cb651-d391-4947-952f-470508a1bfd1,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-187,7da8b3f7-e772-4580-b901-3beb7e65454c,0981e5d1-2018-463a-8b8a-1e5fdcf2506b,2025-07-23 17:35:00,2025-07-23 22:20:00,"Cyber Crime & Online Fraud reported at Tumkuru Industrial Road, Tumkuru","scooter reconnaissance, crowbar entry, night operation, cash targeting",closed,low,100,32ef8189-db8a-47c3-b687-3bf34a097b2b,demo,,,,4aeb6527-1185-47a9-bce5-26e2bcc1bcc5,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-084,7da8b3f7-e772-4580-b901-3beb7e65454c,f08b6675-bdea-4824-ab7b-02bc87e80982,2024-09-19 13:15:00,2024-09-19 18:05:00,"Cyber Crime & Online Fraud reported at Devaraja Market Zone, Mysuru","night riverbed extraction, forged transit permit, heavy excavator used",unsolved,low,47,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,4b2e8ec6-f3a8-4449-8aa4-1a6f5587c41e,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-088,019ae936-623e-4279-8981-d5b369e400f3,d4bbaa84-6a09-47e5-a52d-738e27f8db20,2024-10-01 20:25:00,2024-10-01 23:10:00,"Domestic Violence reported at Bellary City Center, Ballari",phishing URL SMS,open,high,48,35ec4bb7-90e0-43a2-9e8a-289e1339f1a0,demo,,,,4b45b569-d7f9-41d4-8bcd-914bc703bc46,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-262,e8dd85a6-421f-452c-811a-c3bed4e9a18b,10bd2f3d-caec-4202-8ed8-5efd2c067854,2026-03-03 22:35:00,2026-03-04 03:05:00,"Theft & Burglaries reported at Kolar Gold Fields Road, Kolar","highway cargo truck hijacking, driver assault, remote warehouse offload",appealed,high,10,314c456a-4c37-43b1-99a0-4b6239463b6f,demo,,,,4b494b74-1784-464a-9f68-872ca01fdb07,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-190,b832740f-0285-496a-8ae7-c0ba3fce708b,0b55e0d6-42ee-4a1f-9bc0-435f5210decf,2025-07-31 02:10:00,2025-07-31 05:25:00,"Narcotics Smuggling Services reported at Tiptur Market Area, Tumkuru","interstate transit, concealed false compartment, synthetic MDMA, dead drop",unsolved,low,12,32ef8189-db8a-47c3-b687-3bf34a097b2b,demo,,,,4e3fa34d-7046-457c-a308-6d9c7a1fe4d2,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-311,019ae936-623e-4279-8981-d5b369e400f3,32956681-9c4f-455d-a6b2-256d984f22ce,2026-07-30 22:55:00,2026-07-31 03:10:00,"Domestic Violence reported at Davanagere Market Road, Davanagere","phishing URL SMS, vehicle reconnaissance",unsolved,medium,68,c31cd5b1-71b1-4e9d-a06b-9fadde8f9e6f,demo,,,,4ef85708-ef65-4357-ad83-7c3a1e0c0af7,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-161,7da8b3f7-e772-4580-b901-3beb7e65454c,a4bedd52-a3dc-4a90-8569-dca5662935e5,2025-05-06 13:30:00,2025-05-06 17:15:00,"Cyber Crime & Online Fraud reported at Chowk Survey Layout, Kalaburagi","distillery raid, illicit arrac transport, unbranded glass bottles",investigating,medium,56,c01b3bfb-4c1b-4e70-bd24-9411fd4745f0,demo,,,,4fb2a197-94bd-4716-99f1-eace832517d9,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-212,019ae936-623e-4279-8981-d5b369e400f3,0201b9e3-394f-47ca-8471-2c0dd1078fb0,2025-10-07 20:45:00,2025-10-07 22:50:00,"Domestic Violence reported at Nazar Mohalla Beat, Mysuru","highway cargo truck hijacking, driver assault, remote warehouse offload",investigating,critical,48,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,5036ba37-3381-4b0e-a436-e83965cf6242,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-022,537eee7f-7c4d-415e-b9be-792c02658f23,3388760d-ac61-45c4-bb24-2bca38f6d13e,2024-03-15 14:40:00,2024-03-15 15:50:00,"Property Disputes reported at Arsikere Town Road, Hassan","scooter reconnaissance, crowbar entry, night operation, cash targeting",investigating,critical,75,d90df2b2-c392-4aed-8af3-1024b8d7e0a0,demo,,,,50d4cb6b-ea16-43e3-b200-02a5e9080135,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-038,019ae936-623e-4279-8981-d5b369e400f3,7a1fcf66-da18-4fde-936f-31906c9a83f4,2024-05-01 22:20:00,2024-05-01 23:20:00,"Domestic Violence reported at Koramangala Layout, Bengaluru Urban","highway cargo truck hijacking, driver assault, remote warehouse offload",closed,high,100,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,50d86cf4-6f84-42b9-a0d9-57fd9e565103,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-028,e8dd85a6-421f-452c-811a-c3bed4e9a18b,af5fa199-cce9-4618-b574-e182e434dd6f,2024-04-02 02:00:00,2024-04-02 03:05:00,"Theft & Burglaries reported at Homnabad Cross, Bidar","land document forgery, witness intimidation, fake power of attorney",investigating,low,46,2fd383db-cd0b-4cca-9161-74533c0a3647,demo,,,,5211efc7-6c7b-4d21-b168-c1066e17b6a2,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-264,1b770b27-4234-44c6-836f-811c4b1b0dca,42d2be64-dfc5-47d2-afd1-a3dcde829269,2026-03-09 23:30:00,2026-03-10 02:40:00,"Illegal Mining Violations reported at Yadagir Town Center, Yadagir","fake customer care portal, OTP interception, remote access app",closed,critical,100,27fea9ae-f398-4c45-a286-94af0bd08807,demo,,,,5285c41d-5381-4ec1-961d-b22b482e9cb5,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-196,537eee7f-7c4d-415e-b9be-792c02658f23,4e91e45a-2b03-406d-808b-cf92fa79f91d,2025-08-17 17:45:00,2025-08-17 19:50:00,"Property Disputes reported at Bangarapet Station Road, Kolar","highway cargo truck hijacking, driver assault, remote warehouse offload",unsolved,medium,48,314c456a-4c37-43b1-99a0-4b6239463b6f,demo,,,,534a3d81-3919-4448-b519-8f2c8e2176c7,2026-08-29 12:45:08,2026-08-29 12:45:08
